Timestamp,Building,Floor,Range Number,Section Number,Shelf Number,Call No. Leading Alpha ,Call No. Leading Numeric,Call No. Ending Alpha ,Call No. Ending Numeric,Occupied Space,Stacked
5/24/2017 17:03:27,ZIM,2,5,14,4,B,803,B,804,23,No
5/24/2017 17:03:48,ZIM,2,5,14,5,B,804,B,804,32,No
5/24/2017 17:04:08,ZIM,2,5,14,6,B,804,B,804,30,No
5/24/2017 17:04:36,ZIM,2,6,1,1,B,804,B,804,34,No
5/24/2017 17:08:09,ZIM,2,6,1,2,B,804,B,804,27,No
5/24/2017 17:08:32,ZIM,2,6,1,3,B,804,B,808.5,32,No
5/24/2017 17:09:00,ZIM,2,6,1,4,B,808.5,B,808.5,30,No
5/24/2017 17:14:55,ZIM,2,6,1,5,B,808.5,B,808.9,33,No
5/24/2017 17:15:20,ZIM,2,6,1,6,B,808.9,B,809.6,34,No
5/24/2017 17:15:47,ZIM,2,6,2,1,B,809.7,B,809.8,31,No
5/24/2017 17:16:17,ZIM,2,6,2,2,B,809.8,B,809.8,28,No
5/24/2017 17:16:44,ZIM,2,6,2,3,B,809.8,B,809.8,28,No
5/24/2017 17:17:06,ZIM,2,6,2,4,B,809.8,B,816,32,No
5/24/2017 17:18:01,ZIM,2,6,2,5,B,816,B,818,32,No
5/24/2017 17:18:21,ZIM,2,6,2,6,B,818,B,819,32,No
5/24/2017 17:18:39,ZIM,2,6,3,1,B,819,B,819,31,No
5/24/2017 17:18:56,ZIM,2,6,3,2,B,819,B,819,28,No
5/24/2017 17:19:16,ZIM,2,6,3,3,B,819,B,820,31,No
5/24/2017 17:19:37,ZIM,2,6,3,4,B,820,B,821,29,No
5/24/2017 17:20:05,ZIM,2,6,3,5,B,821,B,821,30,No
5/24/2017 17:20:33,ZIM,2,6,3,6,B,821,B,821,33,No
5/24/2017 16:51:03,ZIM,2,6,4,1,B,821,B,823.3,30,No
5/24/2017 16:51:42,ZIM,2,6,4,2,B,823.3,B,823.3,29,No
5/24/2017 16:52:46,ZIM,0,6,4,3,B,823.3,B,823.4,29,No
5/24/2017 16:53:31,ZIM,2,6,4,4,B,824.4,B,824.6,30,No
5/24/2017 16:54:02,ZIM,2,6,4,5,B,825,B,825.2,32,No
5/24/2017 16:54:36,ZIM,2,6,4,6,B,825.2,B,828.3,27,No
5/24/2017 16:55:23,ZIM,2,6,5,1,B,828.3,B,828.5,32,No
5/24/2017 16:55:56,ZIM,2,6,5,2,B,828.5,B,829.5,31,No
5/24/2017 16:56:28,ZIM,2,6,5,3,B,829.5,B,829.5,32,No
5/24/2017 16:57:01,ZIM,2,6,5,4,B,829.5,B,829.5,36,No
5/24/2017 17:02:57,ZIM,2,6,5,5,B,829.5,B,831.2,31,No
5/24/2017 17:03:30,ZIM,2,6,5,6,B,831.2,B,831.2,32,No
5/24/2017 17:03:54,ZIM,2,6,6,1,B,831.2,B,832,33,No
5/24/2017 17:04:53,ZIM,2,6,6,2,B,832,B,332,36,No
5/24/2017 17:05:21,ZIM,2,6,6,3,B,832,B,833,35,No
5/24/2017 17:05:57,ZIM,2,6,6,4,B,835,B,835,33,No
5/24/2017 17:07:06,ZIM,2,6,6,5,B,837,B,837,32,No
5/24/2017 17:07:35,ZIM,2,6,6,6,B,840,B,840,34,No
5/24/2017 17:08:07,ZIM,2,6,7,1,B,880,B,840,30,No
5/24/2017 17:08:35,ZIM,2,6,7,2,B,840,B,841.4,32,No
